0.239,0.208,0.212,0.265500166,0.274,0.008499834
0.282,0.278,0.32,0.274935831,0.287,0.012064169
0.379,0.279,0.357,0.28085295,0.364,0.08314705
0.335,0.31,0.384,0.281162256,0.35,0.068837744
0.44,0.393,0.329,0.286742683,0.395,0.108257317
0.329,0.288,0.361,0.279126267,0.297,0.017873733
0.385,0.319,0.352,0.282466959,0.281,-0.001466959
0.402,0.441,0.442,0.291096778,0.46,0.168903222
0.23,0.318,0.331,0.274596565,0.259,-0.015596565
0.351,0.231,0.33,0.276618701,0.276,-0.000618701
0.33,0.298,0.326,0.278171683,0.325,0.046828317
0.341,0.363,0.344,0.281907671,0.438,0.156092329
0.369,0.36,0.375,0.284218812,0.342,0.057781188
0.303,0.331,0.32,0.278015313,0.354,0.075984687
0.275,0.265,0.298,0.273184122,0.29,0.016815878
0.339,0.32,0.272,0.277290362,0.298,0.020709638
0.37,0.346,0.354,0.282919743,0.366,0.083080257
0.323,0.362,0.373,0.282206549,0.374,0.091793451
0.344,0.361,0.325,0.281220406,0.31,0.028779594
0.214,0.32,0.21,0.268938729,0.222,-0.046938729
0.435,0.411,0.404,0.289989368,0.389,0.099010632
0.269,0.329,0.225,0.272523226,0.194,-0.078523226
0.29,0.292,0.272,0.273917767,0.239,-0.034917767
0.329,0.289,0.285,0.276121295,0.301,0.024878705
0.222,0.386,0.361,0.278154619,0.367,0.088845381
0.097,0.204,0.286,0.261543545,0.075,-0.186543545
0.348,0.285,0.291,0.277070066,0.256,-0.021070066
0.334,0.35,0.338,0.2808617,0.374,0.0931383
0.325,0.314,0.36,0.27992671,0.338,0.05807329
0.429,0.305,0.314,0.28238175,0.294,0.01161825
0.316,0.296,0.252,0.274467429,0.326,0.051532571
0.329,0.335,0.343,0.280253448,0.338,0.057746552
0.356,0.365,0.336,0.282332725,0.313,0.030667275
0.318,0.228,0.286,0.273183062,0.252,-0.021183062
0.221,0.331,0.294,0.273196123,0.221,-0.052196123
0.308,0.272,0.358,0.277422184,0.337,0.059577816
0.28,0.288,0.297,0.274312028,0.274,-0.000312028
0.238,0.369,0.29,0.275357049,0.232,-0.043357049
0.294,0.317,0.342,0.277932677,0.357,0.079067323
0.325,0.33,0.307,0.278451337,0.337,0.058548663
0.375,0.357,0.357,0.283672515,0.377,0.093327485
0.296,0.3,0.338,0.277188173,0.329,0.051811827
0.337,0.362,0.333,0.281262492,0.327,0.045737508
0.359,0.343,0.342,0.281854514,0.331,0.049145486
0.175,0.24,0.161,0.261570293,0.163,-0.098570293
0.318,0.303,0.351,0.2788237,0.309,0.0301763
0.185,0.188,0.107,0.257452888,0.217,-0.040452888
0.324,0.357,0.389,0.282681358,0.34,0.057318642
0.34,0.307,0.293,0.277661365,0.25,-0.027661365
0.245,0.332,0.282,0.273862387,0.332,0.058137613
0.327,0.306,0.349,0.279267347,0.345,0.065732653
0.295,0.37,0.338,0.279900666,0.344,0.064099334
0.324,0.323,0.347,0.279719672,0.328,0.048280328
0.295,0.357,0.378,0.280970184,0.341,0.060029816
0.301,0.351,0.324,0.278872309,0.297,0.018127691
0.336,0.336,0.328,0.28001304,0.318,0.03798696
0.182,0.364,0.319,0.273744109,0.298,0.024255891
0.295,0.319,0.307,0.276653892,0.319,0.042346108
0.355,0.356,0.343,0.282216524,0.36,0.077783476
0.31,0.36,0.312,0.279153481,0.314,0.034846519
0.267,0.201,0.309,0.270622636,0.313,0.042377364
0.32,0.341,0.314,0.278937224,0.277,-0.001937224
0.322,0.323,0.346,0.279590464,0.327,0.047409536
0.353,0.339,0.308,0.280099152,0.349,0.068900848
0.268,0.236,0.319,0.272531123,0.306,0.033468877
0.31,0.308,0.385,0.280008685,0.296,0.015991315
0.232,0.246,0.246,0.268207041,0.269,0.000792959
0.232,0.246,0.246,0.268207041,0.269,0.000792959
