rbi,hr,obp,avg,age,avg pred,avg real,error,avg avg,abs error,
37,8,0.378,0.312,1990,0.242486383,0.239,0.003486383,,0.003486383,
14,6,0.301,0.204,1993,0.22909193,0.04,0.18909193,,0.18909193,
80,29,0.459,0.314,1983,0.272954432,0.326,-0.053045568,,0.053045568,
1,0,0.091,0.063,1989,0.219026034,0.5,-0.280973966,,0.280973966,
0,0,0.108,0.065,1984,0.221850388,0.102,0.119850388,,0.119850388,
34,3,0.293,0.244,1986,0.239647442,0.256,-0.016352558,,0.016352558,
1,0,0.417,0.3,1993,0.224900089,0.282,-0.057099911,,0.057099911,
47,10,0.324,0.262,1992,0.244587549,0.238,0.006587549,,0.006587549,
101,30,0.347,0.29,1987,0.276431242,0.293,-0.016568758,,0.016568758,
66,15,0.353,0.313,1990,0.255794836,0.338,-0.082205164,,0.082205164,
23,2,0.347,0.3,1990,0.234101507,0.255,-0.020898493,,0.020898493,
20,3,0.279,0.199,1984,0.23492515,0.232,0.00292515,,0.00292515,
1,0,0.25,0.182,1994,0.22019269,0.324,-0.10380731,,0.10380731,
5,1,0.247,0.23,1989,0.224839791,0.154,0.070839791,,0.070839791,
27,6,0.291,0.219,1992,0.234473485,0.312,-0.077526515,,0.077526515,
28,4,0.327,0.287,1987,0.237964274,0.283,-0.045035726,,0.045035726,
34,9,0.3,0.249,1988,0.240808811,0.256,-0.015191189,,0.015191189,
0,0,0.13,0.048,1989,0.219576002,0.261,-0.041423998,,0.041423998,
41,6,0.289,0.259,1989,0.241653887,0.239,0.002653887,,0.002653887,
2,0,0.13,0.096,1991,0.219264594,0.204,0.015264594,,0.015264594,
59,18,0.299,0.226,1986,0.25495768,0.217,0.03795768,,0.03795768,
60,16,0.37,0.294,1984,0.257640834,0.275,-0.017359166,,0.017359166,
4,1,0.255,0.174,1992,0.222915045,0.176,0.046915045,,0.046915045,
20,2,0.358,0.303,1990,0.233206719,0.292,-0.058793281,,0.058793281,
106,22,0.362,0.29,1983,0.278240765,0.263,0.015240765,,0.015240765,
0,0,0,0,1990,0.215837022,0.242,-0.026162978,,0.026162978,
17,2,0.351,0.283,1993,0.230149243,0.259,-0.028850757,,0.028850757,
40,10,0.298,0.263,1990,0.242336433,0.246,-0.003663567,,0.003663567,
56,12,0.314,0.278,1989,0.250338306,0.266,-0.015661694,,0.015661694,
21,3,0.28,0.219,1991,0.231381269,0.197,0.034381269,,0.034381269,
66,27,0.323,0.247,1987,0.260965751,0.247,0.013965751,,0.013965751,
83,26,0.308,0.256,1987,0.266944705,0.271,-0.004055295,,0.004055295,
61,11,0.321,0.262,1990,0.251538485,0.24,0.011538485,,0.011538485,
99,26,0.369,0.275,1992,0.271918801,0.292,-0.020081199,,0.020081199,
50,5,0.296,0.24,1983,0.248443526,0.258,-0.009556474,,0.009556474,
43,16,0.355,0.246,1993,0.245332115,0,0.245332115,,0.245332115,
74,26,0.328,0.266,1987,0.263913603,0.278,-0.014086397,,0.014086397,
1,0,0.267,0.214,1991,0.222310172,0.229,-0.006689828,,0.006689828,
54,17,0.302,0.225,1987,0.252126907,0.238,0.014126907,,0.014126907,
44,7,0.294,0.246,1988,0.243874167,0.286,-0.042125833,,0.042125833,
72,16,0.361,0.307,1986,0.26102294,0.287,-0.02597706,,0.02597706,
56,25,0.31,0.224,1985,0.257105451,0.26,-0.002894549,,0.002894549,
2,0,0.171,0.171,1991,0.220326922,0.227,-0.006673078,,0.006673078,
1,0,0.235,0.219,1990,0.222099547,0.223,-0.000900453,,0.000900453,
50,14,0.343,0.28,1992,0.24768613,0.255,-0.00731387,,0.00731387,
44,10,0.308,0.259,1990,0.24415428,0.266,-0.02184572,,0.02184572,
45,15,0.31,0.257,1990,0.246373327,0.238,0.008373327,,0.008373327,
70,16,0.315,0.254,1989,0.257291779,0.122,0.135291779,,0.135291779,
48,13,0.315,0.23,1983,0.250964915,0.282,-0.031035085,,0.031035085,
63,9,0.338,0.288,1983,0.256103758,0.305,-0.048896242,,0.048896242,
34,12,0.317,0.279,1989,0.241751679,0.254,-0.012248321,,0.012248321,
84,28,0.365,0.272,1985,0.270643331,0.271,-0.000356669,,0.000356669,
35,4,0.394,0.279,1980,0.246365368,0.246,0.000365368,,0.000365368,
21,5,0.272,0.174,1984,0.235823801,0.242,-0.006176199,,0.006176199,
25,8,0.319,0.267,1986,0.238558046,0.243,-0.004441954,,0.004441954,
0,0,0.143,0.143,1993,0.217751629,0.235,-0.017248371,,0.017248371,
0,0,0.239,0.217,1984,0.22517307,0.186,0.03917307,,0.03917307,
63,14,0.282,0.229,1991,0.251804248,0.231,0.020804248,,0.020804248,
84,15,0.379,0.31,1987,0.265286573,0.231,0.034286573,,0.034286573,
26,9,0.335,0.27,1993,0.235709733,0.22,0.015709733,,0.015709733,
76,18,0.44,0.338,1983,0.267048303,0.316,-0.048951697,,0.048951697,
17,1,0.329,0.282,1989,0.231524112,0.247,-0.015475888,,0.015475888,
52,18,0.385,0.269,1993,0.250365604,0.236,0.014365604,,0.014365604,
90,41,0.402,0.299,1991,0.275094129,0.315,-0.039905871,,0.039905871,
28,11,0.23,0.174,1991,0.235644182,0.207,0.028644182,,0.028644182,
19,9,0.351,0.295,1989,0.235673762,0.195,0.040673762,,0.040673762,
85,23,0.33,0.278,1985,0.268397302,0.233,0.035397302,,0.035397302,
77,18,0.341,0.291,1992,0.259727789,0.318,-0.058272211,,0.058272211,
93,44,0.369,0.302,1980,0.282697211,0.287,-0.004302789,,0.004302789,
73,15,0.303,0.255,1992,0.25608286,0.285,-0.02891714,,0.02891714,
34,9,0.275,0.226,1990,0.239020399,0.218,0.021020399,,0.021020399,
43,10,0.339,0.301,1983,0.248592786,0.26,-0.011407214,,0.011407214,
53,3,0.37,0.296,1983,0.250820423,0.269,-0.018179577,,0.018179577,
130,42,0.323,0.287,1991,0.288925882,0.294,-0.005074118,,0.005074118,
41,8,0.344,0.297,1991,0.242624859,0.286,-0.043375141,,0.043375141,
3,0,0.214,0.12,1989,0.222820878,0.306,-0.083179122,,0.083179122,
110,33,0.435,0.321,1987,0.283224909,0.297,-0.013775091,,0.013775091,
27,7,0.269,0.249,1985,0.238302975,0.302,-0.063697025,,0.063697025,
13,4,0.29,0.2,1987,0.231124774,0.251,-0.019875226,,0.019875226,
47,17,0.329,0.276,1991,0.247791679,0.24,0.007791679,,0.007791679,
5,1,0.222,0.143,1989,0.224149623,0.28,-0.055850377,,0.055850377,
0,0,0.097,0.097,1991,0.217711138,0.189,0.028711138,,0.028711138,
